id,policy_id,coverage_id,active,created_date
1,1,1,TRUE,2025-09-29 00:00:00
2,1,9,TRUE,2025-09-29 00:00:00
3,1,3,TRUE,2025-09-29 00:00:00
4,1,10,FALSE,2025-09-29 00:00:00
5,1,2,TRUE,2025-09-29 00:00:00
6,2,10,TRUE,2024-01-30 00:00:00
7,2,1,TRUE,2024-01-30 00:00:00
8,2,9,TRUE,2024-01-30 00:00:00
9,2,3,TRUE,2024-01-30 00:00:00
10,2,2,TRUE,2024-01-30 00:00:00
11,3,1,TRUE,2024-09-09 00:00:00
12,3,2,TRUE,2024-09-09 00:00:00
13,3,9,TRUE,2024-09-09 00:00:00
14,3,10,TRUE,2024-09-09 00:00:00
15,3,3,TRUE,2024-09-09 00:00:00
16,4,2,TRUE,2024-10-13 00:00:00
17,4,3,TRUE,2024-10-13 00:00:00
18,4,1,TRUE,2024-10-13 00:00:00
19,4,10,TRUE,2024-10-13 00:00:00
20,4,9,TRUE,2024-10-13 00:00:00
21,5,9,TRUE,2025-03-31 00:00:00
22,5,1,TRUE,2025-03-31 00:00:00
23,6,1,TRUE,2024-06-18 00:00:00
24,6,9,TRUE,2024-06-18 00:00:00
25,6,2,TRUE,2024-06-18 00:00:00
26,7,10,TRUE,2024-07-28 00:00:00
27,7,1,TRUE,2024-07-28 00:00:00
28,7,9,TRUE,2024-07-28 00:00:00
29,7,3,TRUE,2024-07-28 00:00:00
30,8,2,TRUE,2024-09-27 00:00:00
31,8,10,TRUE,2024-09-27 00:00:00
32,8,9,TRUE,2024-09-27 00:00:00
33,8,1,TRUE,2024-09-27 00:00:00
34,9,10,FALSE,2024-12-12 00:00:00
35,9,9,FALSE,2024-12-12 00:00:00
36,9,1,TRUE,2024-12-12 00:00:00
37,9,3,TRUE,2024-12-12 00:00:00
38,9,2,TRUE,2024-12-12 00:00:00
39,10,1,TRUE,2025-05-07 00:00:00
40,10,10,TRUE,2025-05-07 00:00:00
41,11,3,TRUE,2025-02-17 00:00:00
42,11,1,TRUE,2025-02-17 00:00:00
43,11,10,TRUE,2025-02-17 00:00:00
44,12,10,TRUE,2024-02-17 00:00:00
45,12,3,TRUE,2024-02-17 00:00:00
46,13,3,TRUE,2024-12-18 00:00:00
47,13,10,TRUE,2024-12-18 00:00:00
48,14,9,FALSE,2024-10-29 00:00:00
49,14,3,TRUE,2024-10-29 00:00:00
50,14,1,TRUE,2024-10-29 00:00:00
51,14,10,TRUE,2024-10-29 00:00:00
52,14,2,TRUE,2024-10-29 00:00:00
53,15,9,FALSE,2024-12-14 00:00:00
54,15,2,FALSE,2024-12-14 00:00:00
55,15,10,TRUE,2024-12-14 00:00:00
56,15,3,TRUE,2024-12-14 00:00:00
57,16,1,TRUE,2024-06-01 00:00:00
58,16,10,TRUE,2024-06-01 00:00:00
59,17,3,TRUE,2025-02-19 00:00:00
60,17,10,TRUE,2025-02-19 00:00:00
61,17,2,TRUE,2025-02-19 00:00:00
62,17,9,TRUE,2025-02-19 00:00:00
63,18,9,TRUE,2024-05-29 00:00:00
64,18,2,TRUE,2024-05-29 00:00:00
65,18,3,TRUE,2024-05-29 00:00:00
66,18,1,TRUE,2024-05-29 00:00:00
67,19,10,FALSE,2025-07-31 00:00:00
68,19,2,TRUE,2025-07-31 00:00:00
69,19,3,TRUE,2025-07-31 00:00:00
70,20,9,TRUE,2024-10-28 00:00:00
71,20,1,TRUE,2024-10-28 00:00:00
72,21,1,TRUE,2024-11-21 00:00:00
73,21,9,TRUE,2024-11-21 00:00:00
74,22,10,TRUE,2024-07-02 00:00:00
75,22,2,TRUE,2024-07-02 00:00:00
76,22,3,FALSE,2024-07-02 00:00:00
77,22,1,TRUE,2024-07-02 00:00:00
78,22,9,TRUE,2024-07-02 00:00:00
79,23,3,TRUE,2025-05-29 00:00:00
80,23,1,TRUE,2025-05-29 00:00:00
81,24,3,TRUE,2025-01-07 00:00:00
82,24,10,TRUE,2025-01-07 00:00:00
83,24,1,TRUE,2025-01-07 00:00:00
84,24,2,TRUE,2025-01-07 00:00:00
85,24,9,TRUE,2025-01-07 00:00:00
86,25,9,TRUE,2024-07-01 00:00:00
87,25,1,FALSE,2024-07-01 00:00:00
88,25,10,TRUE,2024-07-01 00:00:00
89,26,2,TRUE,2024-10-22 00:00:00
90,26,10,TRUE,2024-10-22 00:00:00
91,26,1,TRUE,2024-10-22 00:00:00
92,26,9,TRUE,2024-10-22 00:00:00
93,26,3,TRUE,2024-10-22 00:00:00
94,27,10,TRUE,2024-12-24 00:00:00
95,27,9,TRUE,2024-12-24 00:00:00
96,27,3,TRUE,2024-12-24 00:00:00
97,27,1,TRUE,2024-12-24 00:00:00
98,28,3,TRUE,2024-07-22 00:00:00
99,28,1,TRUE,2024-07-22 00:00:00
100,28,9,TRUE,2024-07-22 00:00:00
101,28,2,TRUE,2024-07-22 00:00:00
102,29,1,TRUE,2024-06-24 00:00:00
103,29,10,TRUE,2024-06-24 00:00:00
104,30,10,TRUE,2024-07-19 00:00:00
105,30,2,TRUE,2024-07-19 00:00:00
106,30,1,TRUE,2024-07-19 00:00:00
107,30,9,TRUE,2024-07-19 00:00:00
108,31,1,TRUE,2024-07-03 00:00:00
109,31,3,TRUE,2024-07-03 00:00:00
110,31,10,TRUE,2024-07-03 00:00:00
111,31,2,FALSE,2024-07-03 00:00:00
112,32,1,TRUE,2025-05-09 00:00:00
113,32,2,TRUE,2025-05-09 00:00:00
114,32,10,TRUE,2025-05-09 00:00:00
115,32,3,TRUE,2025-05-09 00:00:00
116,33,1,TRUE,2024-03-14 00:00:00
117,33,2,TRUE,2024-03-14 00:00:00
118,33,9,TRUE,2024-03-14 00:00:00
119,33,10,TRUE,2024-03-14 00:00:00
120,33,3,FALSE,2024-03-14 00:00:00
121,34,1,TRUE,2025-02-23 00:00:00
122,34,2,TRUE,2025-02-23 00:00:00
123,34,10,TRUE,2025-02-23 00:00:00
