id,vehicle_id,coverage_id,active,created_date
1,1,5,TRUE,2024-06-16 00:00:00
2,1,8,TRUE,2024-06-16 00:00:00
3,1,14,TRUE,2024-06-16 00:00:00
4,1,11,TRUE,2024-06-16 00:00:00
5,1,6,FALSE,2024-06-16 00:00:00
6,2,13,FALSE,2025-08-14 00:00:00
7,2,14,TRUE,2025-08-14 00:00:00
8,2,8,TRUE,2025-08-14 00:00:00
9,2,15,TRUE,2025-08-14 00:00:00
10,2,6,TRUE,2025-08-14 00:00:00
11,3,7,TRUE,2024-05-11 00:00:00
12,3,4,TRUE,2024-05-11 00:00:00
13,3,14,TRUE,2024-05-11 00:00:00
14,3,15,TRUE,2024-05-11 00:00:00
15,4,11,TRUE,2025-03-06 00:00:00
16,4,14,TRUE,2025-03-06 00:00:00
17,4,15,TRUE,2025-03-06 00:00:00
18,4,13,TRUE,2025-03-06 00:00:00
19,4,12,FALSE,2025-03-06 00:00:00
20,5,11,TRUE,2025-05-09 00:00:00
21,5,4,TRUE,2025-05-09 00:00:00
22,5,7,TRUE,2025-05-09 00:00:00
23,5,8,TRUE,2025-05-09 00:00:00
24,5,14,TRUE,2025-05-09 00:00:00
25,6,5,TRUE,2024-08-31 00:00:00
26,6,12,TRUE,2024-08-31 00:00:00
27,6,14,TRUE,2024-08-31 00:00:00
28,6,11,TRUE,2024-08-31 00:00:00
29,6,15,FALSE,2024-08-31 00:00:00
30,7,12,TRUE,2025-05-30 00:00:00
31,7,8,TRUE,2025-05-30 00:00:00
32,7,7,TRUE,2025-05-30 00:00:00
33,7,11,TRUE,2025-05-30 00:00:00
34,8,14,FALSE,2024-03-04 00:00:00
35,8,4,FALSE,2024-03-04 00:00:00
36,8,6,TRUE,2024-03-04 00:00:00
37,8,7,TRUE,2024-03-04 00:00:00
38,9,13,FALSE,2025-04-14 00:00:00
39,9,15,TRUE,2025-04-14 00:00:00
40,9,8,TRUE,2025-04-14 00:00:00
41,9,14,TRUE,2025-04-14 00:00:00
42,9,4,TRUE,2025-04-14 00:00:00
43,10,4,TRUE,2025-09-20 00:00:00
44,10,13,TRUE,2025-09-20 00:00:00
45,10,7,TRUE,2025-09-20 00:00:00
46,11,5,FALSE,2025-06-30 00:00:00
47,11,6,TRUE,2025-06-30 00:00:00
48,11,7,TRUE,2025-06-30 00:00:00
49,11,13,TRUE,2025-06-30 00:00:00
50,12,6,TRUE,2025-02-02 00:00:00
51,12,5,TRUE,2025-02-02 00:00:00
52,12,12,TRUE,2025-02-02 00:00:00
53,12,11,TRUE,2025-02-02 00:00:00
54,12,14,FALSE,2025-02-02 00:00:00
55,13,8,TRUE,2025-04-11 00:00:00
56,13,5,TRUE,2025-04-11 00:00:00
57,13,7,TRUE,2025-04-11 00:00:00
58,14,7,TRUE,2025-11-06 00:00:00
59,14,15,TRUE,2025-11-06 00:00:00
60,14,11,FALSE,2025-11-06 00:00:00
61,14,8,TRUE,2025-11-06 00:00:00
62,14,6,TRUE,2025-11-06 00:00:00
63,15,5,TRUE,2024-06-13 00:00:00
64,15,12,TRUE,2024-06-13 00:00:00
65,15,11,FALSE,2024-06-13 00:00:00
66,15,14,TRUE,2024-06-13 00:00:00
67,16,4,TRUE,2025-03-11 00:00:00
68,16,14,TRUE,2025-03-11 00:00:00
69,17,13,TRUE,2024-11-29 00:00:00
70,17,6,TRUE,2024-11-29 00:00:00
71,18,13,TRUE,2025-09-08 00:00:00
72,18,8,TRUE,2025-09-08 00:00:00
73,18,15,TRUE,2025-09-08 00:00:00
74,18,6,TRUE,2025-09-08 00:00:00
75,19,7,TRUE,2025-03-26 00:00:00
76,19,13,TRUE,2025-03-26 00:00:00
77,20,7,TRUE,2024-03-13 00:00:00
78,20,5,TRUE,2024-03-13 00:00:00
79,20,11,TRUE,2024-03-13 00:00:00
80,20,4,TRUE,2024-03-13 00:00:00
81,20,12,TRUE,2024-03-13 00:00:00
82,21,14,TRUE,2024-11-12 00:00:00
83,21,5,TRUE,2024-11-12 00:00:00
84,22,4,TRUE,2025-11-28 00:00:00
85,22,13,TRUE,2025-11-28 00:00:00
86,23,6,TRUE,2025-03-29 00:00:00
87,23,12,FALSE,2025-03-29 00:00:00
88,23,8,TRUE,2025-03-29 00:00:00
89,23,13,TRUE,2025-03-29 00:00:00
90,24,15,FALSE,2024-10-24 00:00:00
91,24,8,TRUE,2024-10-24 00:00:00
92,25,6,TRUE,2025-02-27 00:00:00
